,club,country,number_of_likes
0,Atlético de Madrid,Spain,"13,841,107"
1,FC Barcelona,Spain,"109,037,478"
2,Real Madrid C.F.,Spain,"115,407,749"
3,Athletic Club,Spain,"1,096,308"
4,Valencia C.F,Spain,"3,415,088"
5,Sevilla FC,Spain,"2,245,330"
6,Liverpool FC,England,"39,614,702"
7,Chelsea Football Club,England,"50,121,291"
8,Manchester City,England,"43,659,529"
9,Tottenham Hotspur,England,"24,591,997"
10,Manchester United,England,"78,373,290"
11,Arsenal,England,"39,790,576"
12,PSG - Paris Saint-Germain,France,"46,163,305"
13,Olympique de Marseille,France,"6,601,987"
14,Olympique Lyonnais - OL,France,"4,055,241"
15,AS MONACO,France,"10,913,577"
16,FC Bayern Munich,Germany,"55,495,965"
17,Borussia Dortmund,Germany,"15,076,149"
18,Borussia Mönchengladbach,Germany,"1,309,450"
19,FC Schalke 04,Germany,"2,951,011"
20,RB Leipzig,Germany,"841,572"
21,Bayer 04 Leverkusen,Germany,"2,943,317"
22,Juventus,Italy,"45,170,684"
23,AC Milan,Italy,"26,158,360"
24,Inter,Italy,"30,657,902"
25,AS Roma,Italy,"9,929,422"
26,SSC Napoli,Italy,"4,777,508"
27,Atalanta Bergamasca Calcio,Italy,"485,869"
